iso_code,scenario,overshoot_year_aiaware
TTO,ndc+AI_CLEAN,2025.0
TTO,ndc+AI_CONSERVATIVE,2025.0
TUR,ambitious,2025.0
TUR,ambitious+AI_CLEAN,2025.0
TUR,ambitious+AI_CONSERVATIVE,2025.0
TUR,baseline,2025.0
TUR,baseline+AI_CLEAN,2025.0
TUR,baseline+AI_CONSERVATIVE,2025.0
TUR,ndc,2025.0
TUR,ndc+AI_CLEAN,2025.0
TUR,ndc+AI_CONSERVATIVE,2025.0
UKR,ambitious,2025.0
UKR,ambitious+AI_CLEAN,2025.0
UKR,ambitious+AI_CONSERVATIVE,2025.0
UKR,baseline,2025.0
UKR,baseline+AI_CLEAN,2025.0
UKR,baseline+AI_CONSERVATIVE,2025.0
UKR,ndc,2025.0
UKR,ndc+AI_CLEAN,2025.0
UKR,ndc+AI_CONSERVATIVE,2025.0
USA,ambitious,2025.0
USA,ambitious+AI_CLEAN,2025.0
USA,ambitious+AI_CONSERVATIVE,2025.0
USA,baseline,2025.0
USA,baseline+AI_CLEAN,2025.0
USA,baseline+AI_CONSERVATIVE,2025.0
USA,ndc,2025.0
USA,ndc+AI_CLEAN,2025.0
USA,ndc+AI_CONSERVATIVE,2025.0
UZB,ambitious,2025.0
UZB,ambitious+AI_CLEAN,2025.0
UZB,ambitious+AI_CONSERVATIVE,2025.0
UZB,baseline,2025.0
UZB,baseline+AI_CLEAN,2025.0
UZB,baseline+AI_CONSERVATIVE,2025.0
UZB,ndc,2025.0
UZB,ndc+AI_CLEAN,2025.0
UZB,ndc+AI_CONSERVATIVE,2025.0
VEN,ambitious,2025.0
VEN,ambitious+AI_CLEAN,2025.0
VEN,ambitious+AI_CONSERVATIVE,2025.0
VEN,baseline,2025.0
VEN,baseline+AI_CLEAN,2025.0
VEN,baseline+AI_CONSERVATIVE,2025.0
VEN,ndc,2025.0
VEN,ndc+AI_CLEAN,2025.0
VEN,ndc+AI_CONSERVATIVE,2025.0
VNM,ambitious,2025.0
VNM,ambitious+AI_CLEAN,2025.0
VNM,ambitious+AI_CONSERVATIVE,2025.0
VNM,baseline,2025.0
VNM,baseline+AI_CLEAN,2025.0
VNM,baseline+AI_CONSERVATIVE,2025.0
VNM,ndc,2025.0
VNM,ndc+AI_CLEAN,2025.0
VNM,ndc+AI_CONSERVATIVE,2025.0
ZAF,ambitious,2025.0
ZAF,ambitious+AI_CLEAN,2025.0
ZAF,ambitious+AI_CONSERVATIVE,2025.0
ZAF,baseline,2025.0
ZAF,baseline+AI_CLEAN,2025.0
ZAF,baseline+AI_CONSERVATIVE,2025.0
ZAF,ndc,2025.0
ZAF,ndc+AI_CLEAN,2025.0
ZAF,ndc+AI_CONSERVATIVE,2025.0
