iso_code,country,year,scenario,debt_gt,fs_gt,emissions_mt,ai_emissions_mt_eff,emissions_gt,cum_emissions_gt,cum_fs_gt
AUS,Australia,2037,baseline,4.368376090732652,0.0,336.0289300563579,,,,
AUS,Australia,2038,baseline,4.70440502078901,0.0,336.0289300563579,,,,
AUS,Australia,2039,baseline,5.040433950845368,0.0,336.0289300563579,,,,
AUS,Australia,2040,baseline,5.376462880901726,0.0,336.0289300563579,,,,
AUS,Australia,2041,baseline,5.712491810958084,0.0,336.0289300563579,,,,
AUS,Australia,2042,baseline,6.048520741014443,0.0,336.02893005635883,,,,
AUS,Australia,2043,baseline,6.3845496710708005,0.0,336.0289300563579,,,,
AUS,Australia,2044,baseline,6.720578601127158,0.0,336.0289300563579,,,,
AUS,Australia,2045,baseline,7.056607531183516,0.0,336.0289300563579,,,,
AUS,Australia,2046,baseline,7.392636461239874,0.0,336.0289300563579,,,,
AUS,Australia,2047,baseline,7.728665391296232,0.0,336.0289300563579,,,,
AUS,Australia,2048,baseline,8.064694321352588,0.0,336.02893005635616,,,,
AUS,Australia,2049,baseline,8.400723251408946,0.0,336.0289300563579,,,,
AUS,Australia,2050,baseline,8.736752181465304,0.0,336.0289300563579,,,,
AUS,Australia,2025,ndc,0.3360289300563578,0.0,336.0289300563578,,,,
AUS,Australia,2026,ndc,0.6562873961127157,0.0,320.25846605635786,,,,
AUS,Australia,2027,ndc,0.9607753981690736,0.0,304.48800205635797,,,,
AUS,Australia,2028,ndc,1.2494929362254314,0.0,288.7175380563578,,,,
AUS,Australia,2029,ndc,1.5224400102817892,0.0,272.9470740563578,,,,
AUS,Australia,2030,ndc,1.7796166203381474,0.0,257.1766100563582,,,,
AUS,Australia,2031,ndc,2.021022766394505,0.0,241.40614605635767,,,,
AUS,Australia,2032,ndc,2.246658448450863,0.0,225.6356820563581,,,,
AUS,Australia,2033,ndc,2.4565236665072208,0.0,209.8652180563576,,,,
AUS,Australia,2034,ndc,2.650618420563579,0.0,194.09475405635845,,,,
AUS,Australia,2035,ndc,2.8289427106199367,0.0,178.32429005635754,,,,
AUS,Australia,2036,ndc,2.9914965366762947,0.0,162.55382605635793,,,,
AUS,Australia,2037,ndc,3.138279898732653,0.0,146.78336205635833,,,,
AUS,Australia,2038,ndc,3.26929279678901,0.0,131.01289805635696,,,,
AUS,Australia,2039,ndc,3.384535230845368,0.0,115.24243405635781,,,,
AUS,Australia,2040,ndc,3.4840072009017256,0.0,99.47197005635778,,,,
AUS,Australia,2041,ndc,3.567708706958084,0.0,83.70150605635862,,,,
AUS,Australia,2042,ndc,3.6356397490144423,0.0,67.93104205635814,,,,
AUS,Australia,2043,ndc,3.687800327070799,0.0,52.16057805635677,,,,
AUS,Australia,2044,ndc,3.7241904411271576,0.0,36.3901140563585,,,,
AUS,Australia,2045,ndc,3.744810091183516,0.0,20.619650056358463,,,,
AUS,Australia,2046,ndc,3.749659277239874,0.0,4.849186056357979,,,,
AUS,Australia,2047,ndc,3.738737999296232,0.0,-10.92127794364206,,,,
AUS,Australia,2048,ndc,3.712046257352589,0.0,-26.691741943642988,,,,
AUS,Australia,2049,ndc,3.669584051408947,0.0,-42.46220594364214,,,,
AUS,Australia,2050,ndc,3.6113513814653047,0.0,-58.23266994364218,,,,
