iso_code,country,year,scenario,debt_gt
AUS,Australia,2029,baseline,1.6801446502817896
AUS,Australia,2030,baseline,2.016173580338147
AUS,Australia,2031,baseline,2.352202510394505
AUS,Australia,2032,baseline,2.688231440450863
AUS,Australia,2033,baseline,3.0242603705072213
AUS,Australia,2034,baseline,3.360289300563579
AUS,Australia,2035,baseline,3.696318230619937
AUS,Australia,2036,baseline,4.032347160676294
AUS,Australia,2037,baseline,4.368376090732652
AUS,Australia,2038,baseline,4.70440502078901
AUS,Australia,2039,baseline,5.040433950845368
AUS,Australia,2040,baseline,5.376462880901726
AUS,Australia,2041,baseline,5.712491810958084
AUS,Australia,2042,baseline,6.048520741014443
AUS,Australia,2043,baseline,6.3845496710708005
AUS,Australia,2044,baseline,6.720578601127158
AUS,Australia,2045,baseline,7.056607531183516
AUS,Australia,2046,baseline,7.392636461239874
AUS,Australia,2047,baseline,7.728665391296232
AUS,Australia,2048,baseline,8.064694321352588
AUS,Australia,2049,baseline,8.400723251408946
AUS,Australia,2050,baseline,8.736752181465304
AUS,Australia,2025,ndc,0.33602893005635787
AUS,Australia,2026,ndc,0.6562873961127157
AUS,Australia,2027,ndc,0.9607753981690736
AUS,Australia,2028,ndc,1.2494929362254314
AUS,Australia,2029,ndc,1.5224400102817892
AUS,Australia,2030,ndc,1.7796166203381474
AUS,Australia,2031,ndc,2.021022766394505
AUS,Australia,2032,ndc,2.246658448450863
AUS,Australia,2033,ndc,2.4565236665072208
AUS,Australia,2034,ndc,2.650618420563579
AUS,Australia,2035,ndc,2.8289427106199367
AUS,Australia,2036,ndc,2.9914965366762947
AUS,Australia,2037,ndc,3.1382798987326526
AUS,Australia,2038,ndc,3.26929279678901
AUS,Australia,2039,ndc,3.3845352308453682
AUS,Australia,2040,ndc,3.4840072009017256
AUS,Australia,2041,ndc,3.567708706958084
AUS,Australia,2042,ndc,3.6356397490144423
AUS,Australia,2043,ndc,3.6878003270707995
AUS,Australia,2044,ndc,3.7241904411271576
AUS,Australia,2045,ndc,3.744810091183516
AUS,Australia,2046,ndc,3.749659277239874
AUS,Australia,2047,ndc,3.738737999296232
AUS,Australia,2048,ndc,3.712046257352589
