iso_code,country,year,cum_emissions_gt,cum_fair_share_gt,carbon_debt_gt,debt_t_per_capita,pct_of_fair_share_used,overshoot_year,pledge_year,pledge_type,scope,source_url,pledge_gap_years
PER,Peru,2023,1.249846,4.8914702132554,-3.6416242132554,-107.59514927015218,25.55154065158244,,2020.0,Non-GHG target and Actions,Not Applicable,"<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/perucphaccord_app2.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007348"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;Document FCCC/SBI/2013/INF.12/Rev.3</a>",
PHL,Philippines,2023,2.9522280000000003,15.732347037702832,-12.780119037702832,-111.23671046119756,18.765337383703375,,,,,,
POL,Poland,2023,11.326257,6.5540031387837425,4.7722538612162575,130.07899101404936,172.81433591290386,1990.0,,,,,
PRT,Portugal,2023,1.843676,1.779042125150404,0.0646338748495958,6.110116438772496,103.63307163646456,1992.0,,,,,
QAT,Qatar,2023,2.145792,0.2482871705738261,1.897504829426174,714.4133916406782,864.2379688973767,1990.0,,,,,
ROU,Romania,2023,3.3745990000000003,3.607395521325272,-0.2327965213252718,-12.214212220872977,93.5466870780017,1990.0,,,,,
RUS,Russian Federation,2023,57.281739,25.018640095543596,32.263098904456406,224.32014894968256,228.9562453484561,1990.0,2020.0,GHG target,All Sectors including LULUCF: All IPCC sectors ,"<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/russiacphaccord_app1engl.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007854#beg"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/SBSTA/2014/INF.6</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600008156"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/TP/2014/8</a>",30.0
SAU,Saudi Arabia,2023,15.334653,3.856798311125799,11.477854688874205,340.5615612833928,397.6005941447277,1990.0,,,,,
SGP,Singapore,2023,1.55973,0.8012008355134912,0.7585291644865089,128.18085233973173,194.6740356305752,1990.0,2020.0,GHG target and Actions,Not Specified,"<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/singaporecphaccord.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007348"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;Document FCCC/SBI/2013/INF.12/Rev.3</a>",30.0
SVK,Slovak Republic,2023,1.377583,0.9285542502796336,0.4490287497203665,82.74373744096208,148.35783688299762,1990.0,,,,,
SVN,Slovenia,2023,0.516477,0.350206385902095,0.1662706140979049,78.41248393528811,147.47789326274255,1990.0,,,,,
SWE,Sweden,2023,1.7257270000000002,1.6158743985700594,0.1098526014299408,10.42577945494735,106.79833788611002,1990.0,,,,,
THA,Thailand,2023,7.186413000000001,11.370959239751478,-4.184546239751477,-58.359890284778714,63.19970768057266,,2020.0,GHG target and Actions,Partial Sectors: Energy and transport,"<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/thailandcphaccord_app2.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007348"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;Document FCCC/SBI/2013/INF.12/Rev.3</a>",
TKM,Turkmenistan,2023,1.670934,0.9334475420940136,0.7374864579059862,100.14158010509236,179.00673842384057,1990.0,,,,,
TTO,Trinidad and Tobago,2023,1.122828,0.2280913313529577,0.8947366686470423,654.2816276641796,492.27122895893433,1990.0,,,,,
TUR,Turkiye,2023,9.96719,12.299483066560446,-2.332293066560446,-27.33391959364826,81.03747081126173,,,,,,
UKR,Ukraine,2023,10.9496,8.16650241955312,2.7830975804468796,73.75797516112702,134.07943128484584,1990.0,2020.0,GHG target,All Sectors including LULUCF: All IPCC sectors ,"<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/ukrainecphaccord_app1.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007854#beg"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/SBSTA/2014/INF.6</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600008156"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/TP/2014/8</a>",30.0
USA,United States,2023,187.754044,51.61833941476152,136.13570458523847,404.19592054767674,363.7351494230888,1990.0,2020.0,GHG target,All Sectors including LULUCF: All IPCC sources and sectors,"<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/unitedstatescphaccord_app.1.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007854#beg"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/SBSTA/2014/INF.6</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600008156"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/TP/2014/8</a>",30.0
UZB,Uzbekistan,2023,3.934068,4.774063989401968,-0.839995989401968,-23.560775166722536,82.40501192973764,1990.0,,,,,
VEN,"Venezuela, RB",2023,4.660686,4.581438900508624,0.0792470994913765,2.8001663656996545,101.729742581148,1990.0,,,,,
VNM,Viet Nam,2023,4.5411909999999995,14.535494894016283,-9.994303894016284,-99.59228288721668,31.24208039087432,,,,,,
ZAF,South Africa,2023,13.94734,8.89042932837552,5.056910671624481,79.99873365991829,156.88038771630943,1990.0,,GHG target,Not Specified,"<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/southafricacphaccord_app2.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007348"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;Document FCCC/SBI/2013/INF.12/Rev.3</a>",
