iso_code,year,ef_kg_per_kwh
BGR,2003,0.4929
BGR,2004,0.49371
BGR,2005,0.45386000000000004
BGR,2006,0.45181
BGR,2007,0.55862
BGR,2008,0.55091
BGR,2009,0.5284800000000001
BGR,2010,0.52101
BGR,2011,0.57766
BGR,2012,0.5254
BGR,2013,0.48745
BGR,2014,0.487
BGR,2015,0.49456
BGR,2016,0.47204
BGR,2017,0.5029
BGR,2018,0.4427
BGR,2019,0.4387
BGR,2020,0.38391000000000003
BGR,2021,0.41529000000000005
BGR,2022,0.47633
BGR,2023,0.33807
BGR,2024,0.26414
BFA,2000,0.48718
BFA,2001,0.5555599999999999
BFA,2002,0.5555599999999999
BFA,2003,0.5111100000000001
BFA,2004,0.51064
BFA,2005,0.53846
BFA,2006,0.56364
BFA,2007,0.54098
BFA,2008,0.52459
BFA,2009,0.54286
BFA,2010,0.51724
BFA,2011,0.5555599999999999
BFA,2012,0.54688
BFA,2013,0.54667
BFA,2014,0.57955
BFA,2015,0.5940599999999999
BFA,2016,0.5555599999999999
BFA,2017,0.5625
BFA,2018,0.5668500000000001
BFA,2019,0.55625
BFA,2020,0.5471699999999999
BFA,2021,0.54971
BFA,2022,0.5680499999999999
BFA,2023,0.55491
BDI,2000,0.0
BDI,2001,0.0
BDI,2002,0.0
BDI,2003,0.0
BDI,2004,0.0
BDI,2005,0.0
BDI,2006,0.0
BDI,2007,0.0
BDI,2008,0.0
BDI,2009,0.0
BDI,2010,0.0625
BDI,2011,0.06667000000000001
BDI,2012,0.0
BDI,2013,0.05882
BDI,2014,0.11111
BDI,2015,0.11111
BDI,2016,0.055560000000000005
BDI,2017,0.17857
BDI,2018,0.22857
BDI,2019,0.23077
BDI,2020,0.18919
BDI,2021,0.23077
BDI,2022,0.23077
BDI,2023,0.23077
CPV,2000,0.6
CPV,2001,0.64706
CPV,2002,0.63158
CPV,2003,0.68421
CPV,2004,0.63636
CPV,2005,0.625
CPV,2006,0.64
CPV,2007,0.62963
CPV,2008,0.6206900000000001
CPV,2009,0.64516
CPV,2010,0.64706
CPV,2011,0.5946
CPV,2012,0.52632
CPV,2013,0.5122000000000001
CPV,2014,0.51163
CPV,2015,0.51163
CPV,2016,0.5333300000000001
CPV,2017,0.53488
CPV,2018,0.51163
CPV,2019,0.5454600000000001
CPV,2020,0.54762
CPV,2021,0.53488
CPV,2022,0.48
KHM,2000,0.5454600000000001
KHM,2001,0.57143
KHM,2002,0.63158
KHM,2003,0.60938
KHM,2004,0.61842
KHM,2005,0.62105
KHM,2006,0.62393
KHM,2007,0.6241599999999999
KHM,2008,0.62838
KHM,2009,0.6349199999999999
KHM,2010,0.63366
KHM,2011,0.62264
KHM,2012,0.42466000000000004
KHM,2013,0.31492000000000003
KHM,2014,0.33762000000000003
KHM,2015,0.48035
KHM,2016,0.46073000000000003
KHM,2017,0.5124099999999999
KHM,2018,0.36098
KHM,2019,0.43695
KHM,2020,0.43862
KHM,2021,0.35614999999999997
KHM,2022,0.30516000000000004
KHM,2023,0.47058999999999995
KHM,2024,0.49745999999999996
CMR,2000,0.03188
CMR,2001,0.03704
CMR,2002,0.045869999999999994
CMR,2003,0.05206
CMR,2004,0.054049999999999994
CMR,2005,0.06061
CMR,2006,0.12054999999999999
CMR,2007,0.19962
CMR,2008,0.19326
CMR,2009,0.223
CMR,2010,0.20649
CMR,2011,0.19218000000000002
CMR,2012,0.16759000000000002
CMR,2013,0.23975
CMR,2014,0.28157
CMR,2015,0.33668
CMR,2016,0.29957999999999996
CMR,2017,0.2882
CMR,2018,0.32436000000000004
CMR,2019,0.30556
CMR,2020,0.32045999999999997
CMR,2021,0.29845
CMR,2022,0.28098
CMR,2023,0.28570999999999996
CAN,2000,0.24569
CAN,2001,0.25565
CAN,2002,0.24512
CAN,2003,0.25164
CAN,2004,0.23534
CAN,2005,0.22501
CAN,2006,0.21650999999999998
CAN,2007,0.22776
CAN,2008,0.21348
CAN,2009,0.20433
CAN,2010,0.21478
CAN,2011,0.20618
CAN,2012,0.19338999999999998
CAN,2013,0.18696000000000002
CAN,2014,0.18886
CAN,2015,0.18437
CAN,2016,0.18087999999999999
CAN,2017,0.17206
CAN,2018,0.17086
CAN,2019,0.16999
CAN,2020,0.16169
CAN,2021,0.16537000000000002
CAN,2022,0.1606
CAN,2023,0.17423
CAN,2024,0.18499000000000002
CYM,2000,0.6590900000000001
CYM,2001,0.6595700000000001
CYM,2002,0.66667
CYM,2003,0.66667
CYM,2004,0.66667
CYM,2005,0.66667
CYM,2006,0.66071
CYM,2007,0.65
CYM,2008,0.6612899999999999
CYM,2009,0.65079
CYM,2010,0.6612899999999999
CYM,2011,0.65079
CYM,2012,0.65574
CYM,2013,0.6612899999999999
CYM,2014,0.6612899999999999
CYM,2015,0.65625
CYM,2016,0.6567200000000001
CYM,2017,0.64706
CYM,2018,0.64179
CYM,2019,0.63889
CYM,2020,0.6376799999999999
CYM,2021,0.64286
CYM,2022,0.64286
CYM,2023,0.64286
CAF,2000,0.1
CAF,2001,0.18181999999999998
CAF,2002,0.18181999999999998
CAF,2003,0.18181999999999998
CAF,2004,0.13333
CAF,2005,0.125
CAF,2006,0.11765
CAF,2007,0.0625
CAF,2008,0.0625
CAF,2009,0.0625
CAF,2010,0.125
CAF,2011,0.11111
CAF,2012,0.11111
CAF,2013,0.0
CAF,2014,0.0
CAF,2015,0.0
CAF,2016,0.0
CAF,2017,0.0
CAF,2018,0.0
CAF,2019,0.0
CAF,2020,0.0
CAF,2021,0.0
CAF,2022,0.0
TCD,2000,0.66667
TCD,2001,0.7
TCD,2002,0.7
TCD,2003,0.63636
TCD,2004,0.66667
TCD,2005,0.66667
TCD,2006,0.66667
TCD,2007,0.66667
TCD,2008,0.64286
TCD,2009,0.64706
TCD,2010,0.68421
TCD,2011,0.65
TCD,2012,0.625
TCD,2013,0.64286
TCD,2014,0.6333300000000001
TCD,2015,0.6333300000000001
TCD,2016,0.6129
TCD,2017,0.625
